810001,1 Clementi Loop 129808
810002,1 Finlayson Green 049246
810003,1 Jalan Kilang 159402
810004,1 Kay Siang Road
810006,1 Toa Payoh Industrial Park 319053
810006,1003 Toa Payoh Industrial Park 319075
810006,3 Toa Payoh Industrial Park 319055
810006,1002 Toa Payoh Industrial Park 319074
810006,1004 Toa Payoh Industrial Park 319076
810006,  319061
810007,1 Woodlands Industrial Park E9 757703
810008,10 Lorong Bakar Batu 348744
810009,10 Kaki Bukit Avenue 1 417942
810010,10 Raeburn Park 088702
810011,10 Science Centre Road 609079
810012,10 Toh Guan Road 608838
810013,10 Upper Aljunied Link 367904
810014,10 Winstedt Rd 227977
810015,100 Tras Street 079027
810016,100 Pasir Panjang Road 118518
810017,1001 Jalan Bukit Merah 159455
810018,1001A Jalan Bukit Merah 159469
810019,1002 Jalan Bukit Merah 159456
810020,1003 Bukit Merah Central 159836
810021,1004 Toa Payoh North 318995
810022,1008 Toa Payoh North 318996
810023,1008A Toa Payoh North 318998
810024,1016 Yishun Industrial Park A 768758
810025,1024 Yishun Industrial Park A 768763
810025,  768737
810026,1080 Lower Delta Road 169311
810027,1090 Lower Delta Road 169201
810028,1091 Lower Delta Road 169202
810029,1092 Lower Delta Road 169203
810030,1093 Lower Delta Road 169204
810031,11 Changi North Street 1 498823
810032,11 Kallang Place 339155
810033,110 Robinson Road 068901
810034,112 Robinson Road 068902
810035,12 Changi North Way 498791
810036,12 Hamilton Road 209183
810036,  209851
810037,12 Tai Seng Link 534233
810038,120 Robinson Road 068913
810039,128 Ang Mo Kio Avenue 3 560128
810040,128 Pasir Panjang Road 118547
810040,128A Pasir Panjang Road 118547
810040,128B Pasir Panjang Road 118547
810041,135 Cecil Street 069536
810042,137 Market Street 048943
810043,137 Telok Ayer Street 068602
810044,12 Flanders Square 209301
810045,146 Robinson Road 068909
810046,150 Cantonment Road 089762
810046,  085801
810047,150 Cecil Street 069543
810048,155 Kallang Way 349244
810049,155A Kallang Way 349254
810050,158 Cecil Street 069545
810051,16 Kallang Place 339156
810052,16 Shaw Road 367954
810053,16 Tuas Avenue 9 639176
810053,  639380
810053,  639307
810053,  639150
810054,16 Tuas Crescent 638710
810054,  639294
810055,161 Kallang Way 349247
810057,18 Robinson Road
810058,18 Robinson Road
810059,183 Upper Thomson Road 574332
810060,19 Changi North Street 1 486779
810061,19 Kallang Avenue 339410
810062,1 Tessensohn Road 217701
810063,2 Kaki Bukit Avenue 1 417938
810063,  417921
810064,20 Collyer Quay 049319
810065,20 Tuas Avenue 1 639532
810066,20 Tuas Avenue 6 639307
810067,2003 Bukit Batok Industrial Park A 659714
810068,21 Changi South Avenue 2 486630
810069,21 China Street 049563
810070,21 Kallang Avenue 339412
810071,211 Henderson Road 159552
810072,21B Temple Street 058566
810073,22 Havelock Rd 160022
810074,223 Mountbatten Road 398008
810075,23 Kallang Avenue 339414
810076,25 Kallang Avenue 339416
810077,25 Ubi Road 4 408621
810078,26 Kallang Place 339157
810079,26A Ang Mo Kio Industrial Park 2 569507
810079,  569526
810080,26A Kallang Place 339212
810081,27 Penjuru Lane 609195
810082,27 Ubi Road 4 408618
810083,272A South Bridge Road 058821
810084,28 Kallang Place 339158
810085,284 Bishan Street 22
810086,28 Race Course Lane 218000
810087,29 Club Street 069414
810087,  069429
810088,29A Club Street 069414
810089,29B Club Street 069414
810089,  069456
810089,  069455
810089,  069433
810090,3 Fusionopolis Place 138523
810091,30 Kallang Place 339159
810092,30 Old Toh Tuck Road 597654
810093,300 Changi Road 419778
810094,3011 Bedok Industrial Park E 489977
810094,3013 Bedok Industrial Park E 489979
810094,3012 Bedok Industrial Park E 489978
810095,3014A Ubi Road 1 408703
810096,3014B Ubi Road 1 408722
810097,3015A Ubi Road 1 408705
810098,30A Kallang Place 339213
810099,31 International Business Park 609921
810100,31 Ubi Road 1 408694
810101,313 Orchard Road 238895
810102,32 Hillview Terrace 662950
810103,32 South Buona Vista Road 118161
810104,321 Clementi Avenue 3 129905
810105,329 Joo Chiat Road 427586
810105,  427678
810105,  427489
810105,  427583
810105,  427437
810105,  427647
810105,  429356
810105,  427471
810105,  427615
810106,32A Hillview Terrace 669251
810107,32B Hillview Terrace 669252
810108,33 Pekin Street 048763
810109,34 Boon Leat Terrace 119866
810110,34 Hillview Terrace 669254
810111,345 Beach Road 199568
810111,  199566
810111,  199571
810111,  199478
810112,34A Hillview Terrace 669255
810113,34B Hillview Terrace 669256
810114,35 Tampines Street 92 528880
810115,351 Braddell Road 579713
810116,36 Armenian Street 179934
810116,38 Armenian Street 179942
810117,36 Temple Street 058581
810117,  058601
810117,  058000
810119,37A Tampines Street 92 528886
810120,38 Ang Mo Kio Industrial Park 2 569511
810121,3A Temple Street 058556
810122,3B Temple Street 058556
810123,4 Changi South Lane 486127
810124,4 Kaki Bukit Avenue 1 417939
810125,4 Loyang Lane 508914
810126,4 Robinson Road 048543
810127,40 Penjuru Lane 609216
810128,41 Changi South Avenue 2 486153
810129,43 Pekin Street 048773
810130,45 Ubi Road 1 408696
810131,454 Race Course Road 218697
810132,46 Boat Quay 049835
810132,  000100
810132,  010100
810132,  049845
810132,  049860
810132,  049841
810133,477 Tampines Street 43 520477
810134,4A Loyang Lane 508923
810135,5 Kallang Place 339152
810136,5 Penjuru Lane 609186
810137,5 Tai Seng Drive 535217
810138,5 Toh Guan Road East 608831
810139, 501 West Coast Drive 120501
810140,502 Chai Chee Lane 469025
810141,51 Cuppage Road 229469
810142,510 Bedok North Street 3 460510
810143,510 Chai Chee Lane 469027
810144,512 Chai Chee Lane 469028
810145,514 Chai Chee Lane 469029
810146,52 Serangoon North Avenue 4 555853
810147,52 Tras Street 078991
810147,  079001
810147,  078984
810147,  079003
810148,53 Serangoon North Avenue 4 555852
810149,530 Bedok North Street 3 460530
810150,55 Market Street Singapore 048941
810151,6 Kaki Bukit Avenue 1 417940
810152,6 Raffles Quay 048580
810153,6 Serangoon North Avenue 5 554910
810155,631 Geylang Road 389565
810155,  389649
810155,  389417
810155,  389455
810155,  389487
810155,  389675
810156,65 Maude Road 208347
810157,7 Temple Street 058558
810158,71 Alps Avenue 498745
810159,71 Temple Street 058615
810160,72 Loyang Way 508762
810161,73 Temple Street 058617
810161,  058608
810162,749 Geylang Road 389655
810164,77 Upper East Coast Road 455218
810165,78 Shenton Way 079120
810166,79 Anson Road 079906
810167,79 Robinson Road 068897
810168,7E Pioneer Sector 1 628446
810169,8 Bulim Avenue 648166
810170,8 Commonwealth Lane 149555
810171,8 Kaki Bukit Avenue 1 417941
810172,8 Claymore Hill 229572
810173,8 Tanjong Pagar Plaza 080008
810173,1 Tanjong Pagar Plaza 082001
810173,3 Tanjong Pagar Plaza 082003
810173,2 Tanjong Pagar Plaza 082002
810173,4 Tanjong Pagar Plaza 081004
810174,80 Robinson Road 068898
810175,81 Joo Chiat Road 427725
810175,  427472
810176,85 Tuas South Ave 1 637419
810177,888 Woodlands Drive 50 730888
810178,8B Admiralty Street 757440
810178,  808438
810179,9 Changi South Street 3 486361
810179,  486362
810180,9 Kallang Place 339154
810180,  329674
810181,9 Tampines Grande 528735
810182,9 Tampines Industrial Drive 528543
810183,9 Temple Street 058559
810184,9 Tagore Lane 787472
810186,96 Sims Avenue 387424
810186,  387476
810187,970 Toa Payoh North 318992
810188,978 Toa Payoh North 319001
810189,988 Toa Payoh North 319002
810190,991 Alexandra Road 119964
810191,998 Toa Payoh North 318993
810192,998 Toa Payoh North 318993
810193,1 Yishun industrial Street 1 768160
810194,3 Tampines Central 1 529540
810195,11 Keppel Road 089057
810196,20 Jalan Kilang 159418
810197,2 Pandan Valley 597626
810198,20 Toh Guan Road 608839
810199,2 Buroh Crescent 627546
810199,  618292
810200,146B Paya Lebar Road 409017
810201,29 International Business Park 609923
810202,19 Jalan Kilang Barat 159361
810203,12 Mohamed Sultan Road 238961
810204,41 Toh Guan Road East 608605
810205,23 Woodlands Industrial Park E1 757741
810205,25 Woodlands Industrial Park E1 757743
810205,19 Woodlands Industrial Park E1 757719
810205,21 Woodlands Industrial Park E1 757720
810206,8 Admiralty Street 757438
810206,  758042
810206,  730431
810207,134 Yishun Ave 11 761348
810208,19 Burn Road 369974
810209,63 Robinson Road 068894
810210,90 Lorong 23 Geylang 388393
810211,3 Tampines Grande 528799
810212,1 Robinson Road 048542
810213,22 Martin Road 239058
810214,38 Maxwell Road 069116
810215,95 Kallang Avenue 339420
810216,3 Changi Business Park Vista 486051
810217,60 Albert Street 189969
810218,321 Alexandra Road singapore 159971
810219,3 Pasir Panjang Road 118483
810220,438 Alexandra Road 119958
810221,438A Alexandra Road 119967
810221,438B Alexandra Road 119968
810222,125 Bukit Merah Lane 1 150125
810223,356 Alexandra Road 159949
810223,  159948
810224,99 Bukit Timah Road 229835
810226,623-625 Aljunied Road 389835
810226,  389836
810227,117 Aljunied Avenue 2 380117
810228,25 Bukit Batok Street 22 659591
810229,45 Kallang Pudding Road 349317
810230,7 Toh Guan Road East 608599
810231,165 Tanjong Pagar Road 088539
810232,76 Telok Ayer Street 048464
810233,7 Maxwell Road 069111
810233,  069911
810233,  069918
810233,  069917
810233,  069909
810233,  069923
810234,159 Sin Ming Road 575625
810235,27 Purvis Street 188604
810236,370 Alexandra Road 159953
810237,10 Ang Mo Kio Industrial Park 2A 568047
810238,53 Ang Mo Kio Avenue 3 569933
810239,3 Ang Mo Kio Industrial Park 568050
810239,  569511
810240,5 Ang Mo Kio Industrial Park 567760
810241,20 Ang Mo Kio Industrial Park 567761
810242,27 Seah Street 188383
810243,115 King George's Avenue 208561
810244,51 Anson Road 079904
810245,72 Anson Road 079911
810246,27 Pioneer Road 628500
810247,75 High Street 179435
810248,00 KALLANG AVENUE 339999
810248,8 KALLANG AVENUE 339509
810248,10 KALLANG AVENUE 339510
810248,12 KALLANG AVENUE 339511
810249,201 Henderson Road Singapore 159545
810249,  127296
810250,70 Anson Road 079905
810251,1 Irving Road 369520
810252,39 Changi South Avenue 2 486352
810253,49 Jalan Pemimpin 577203
