400002,#1 Loft,D14,1 Lorong 24 Geylang,398614,Apartment,The One Development 2 Pte. Ltd,Freehold,2015,8,80,https://www.propertyguru.com.sg/project/1-loft-21478,"#1 Loft#1 Loft is a freehold condominium development located at 1 Lorong 24 Geylang in District D14. The project was completed in the year 2015. The sole developer of this project is The One Development 2 Pte. Ltd.The One Development 2 Pte. Ltd is registered as an exempt company limited by shares. The primary activity of this company is holding other companies and the secondary activity is real estate development and investment.#1 Loft – Unique Selling PointsThe project is located quite ideally in the city. There are a lot of eateries, shops, shopping malls and schools near the project that you have basically all of the necessities and luxuries covered in a small area. The location of the project is also quite secure. due to the large number of shops around it, the area remains busy and lively. due to the crowd density, there are also good security arrangements in the area. However, the same cannot be said about the project as there is no high-class security arrangements such as CCTV camera installation, armed guards, metal detectors and car scanners. The entrance is guarded by a moderately armed watchman. Although this doesn’t ensure much safety, but considering the asking price and the location of the project, there is not much to complain about.The units are installed with all basic amenities. There is 24 hours supply for both water and electricity. The room space in the units of this project is absolutely phenomenal. The rooms are also beautifully built. They are large, spacious and airy. The view from the window is also quite pretty. The heavy tree plantation around the project made it quite beautiful. The environment on the outside is quite refreshing too with all the greenery around.#1 Loft – AccessibilityThis project is located in a very nice location in the city. Most of the eateries, shopping malls, banks and schools are just under 15 minutes of drive. Singapore is famous for its iconic locations and tourist spots such as Merlion Park, Singapore Flyer and Gardens by the Bay. All of these attraction and reasonably near the project. If you own a car, travelling to these places won’t be an issue. However, there is no car parking space in the project, which is why residents who own a car must find a place to park it. If you don’t own a car or any vehicle, you can use a taxi. There are a lot of taxi stands nearby and you may also catch a taxi from the road if you find it to be empty. You can also use cab booking services like Uber and Grab. Another option of travelling is using the train. There are 3 MRT stations that are near the development i.e. Aljunied MRT Station, Dakota MRT Station and Mountbatten MRT Station.#1 Loft – AmenitiesDining near the projectYong He Eating HouseThe TuckshopTanjong Rhu Pau & ConfectioneryRonchor BeancurdB Ah MengFatt Choy Mui Seafood RestaurantJu Shin Jung GuillemardSwee Guan Hokkien MeeShopping near the projectFishing Buddy Pte Ltd - East BranchUniversal Union Enterprises Pte LtdCity PlazaCellarbrationTanjong Katong ComplexMaxi-CashSheng SiongI-Tec Supermart Pte LtdSchools and Religious Places near the project CSM Academy InternationalIroha KindergartenThe Singapore Association for the Deaf Vocational School for the HandicappedKong Hwa SchoolCharis TabernacleFoo Hai Ch'an MonasteryMasjid Wak TanjongMadrasah Wak Tanjong Al-IslamiahSri Krishna MandirMasjid KhadijahSri Sivan TempleMasjid KhalidMun San Fook Tuck CheeAttractions near the projectMerlion ParkMarine Bay SandsGardens by the BayChinatownSingapore National MuseumSingapore Flyer#1 Loft – Project Information#1 Loft is a freehold condominium development constructed and developed by The One Development 2 Pte. Ltd. The project has 80 units and is based on 8 floors. The sale price of the units are in the range S$ 620,000 - S$ 1,556,000and the rental rates are in the range S$ 1,107 - S$ 1,443. The information you need to know about the units offered by this project is given belowUnit Information:1 Bedroom = 549 - 581 sqft3 Bedroom = 936 - 1,324 sqft#1 Loft – Nearby ProjectsGuilin MansionsSunny GroveBlossom MansionsD’WeaveMoro Mansion"
400003,1 Moulmein Rise,D11,1 Moulmein Rise,308143,Apartment,UOL Development Pte. Ltd.,Freehold,2003,26,50,https://www.propertyguru.com.sg/project/1-moulmein-rise-13,"1 Moulmein Rise1 Moulmein Rise is a freehold apartment development that is located at Moulmein Rise in District 11. It is an apartment project that was completed a while back. The project was completed in 2003 with a total of 50 units available for sale or rent. The apartment development is located close to public transportation that allows residents to move easily from one place to another from the apartment. There are many shops and amenities close to the apartment development which would ease the process for residents and they do not need to go far to find what they need. The project was developed by UOL Development Pte Ltd, a very large sized real estate group that has undertaken around 29 real estate projects in Singapore.1 Moulmein Rise - Unique Selling Point1 Moulmein Rise is a beautiful apartment development that has many charms to it. There are various facilities that residents can enjoy while living in 1 Moulmein Rise. Residents of 1 Moulmein Rise would not have to travel far to get their basic necessities as everything is close within their reach. Residents can enjoy the barbeque area, jacuzzi, swimming pool, gymnasium room, pool deck and wading pool. Residents can enjoy taking evening walks around the apartment development or take a dip in the pool on a hot day.1 Moulmein Rise – AccessibilityThere is a number of public transportation close to 1 Moulmein Rise that residents can make use of. The closest MRT station is Novena MRT. The closest bus stops are located at Revival Centre Church, St Josephs Junior Institution. For those with vehicles, the shopping district located at Orchard Road can be easily accessed via the Central Expressway, Newton Road, Clemenceau Avenue North and Moulmein Road in 5 to 10 minutes.1 Moulmein Rise - Amenities Dining near 1 Moulmein Rise The Marmalade PantryVienna International SeafoodWee Nam Kee Hainanese Chicken Rice RestaurantJalan Kayu Prata CaféLotus Vegetarian RestaurantSchools and Education Institute near 1 Moulmein Rise St Joseph’s Institution JuniorBalestier Hill Secondary SchoolBalestier Hill Primary SchoolFarrer Park Primary SchoolNorthlight SchoolMedical Centres/ Clinics near 1 Moulmein Rise National Skin CentreHealthcare For WomenThomson Specialist DentistryTucker MedicalVida MedicalShopping Malls and Shops near1 Moulmein Rise Cold Sotrage VelocityFairPrice Square 2Sol Mart Square 2Don Don Donki Novena Square 2FairPrice Cambridge Road1 Moulmein Rise - Project Information1 Moulmein Rise is an apartment development that is made up of a total of 50 units of apartments. There is only 1 unit type available with various layouts that residents can browse through. The size of the units ranges between 1,238 square feet to 1,259 square feet. The layouts for the units in 1 Moulmein Rise aim to provide residents with homes that is comfortable for working adults, couples or families looking to own a spacious and manageable apartment unit. The rental for the units ranges between S$ 700 to S$ 4,800.Project Name: 1 Moulmein RiseType: ApartmentDistrict: 11Configuration: 50 residential unitsUnit Types:3 bedrooms (1,238 sqft – 1,259 sqft)1 Moulmein Rise - Related ProjectsThe following developments are in the same neighborhood as 1 Moulmein Rise:Breeze By The EastAmber 45Botanique At Bartley1 Moulmein Rise - Nearby ProjectsThe following developments are in the same neighborhood as 1 Moulmein Rise:Fyve DerbyshirePullman ResidencesNeu at Novena35 GilsteadThe Whitley Residences26 Newton"
400004,10 Shelford,D11,10 Shelford Road,288353,Apartment,Adam Properties Pte Ltd,Freehold,2013,5,69,https://www.propertyguru.com.sg/project/10-shelford-20822,"10 Shelford10 Shelford is a freehold apartment located at Shelford Road, Newton in District 11 . The project was completed in the year 2013 with a total of 69 units. The project was spearheaded by Adam Properties Pte Ltd, a company that was incorporated on 18 march, 2010 in Singapore as it is an Exempt Private Company Limited by Shares. Botanic Garden MRT and Farrer Road MRT are close to the apartment as well as several schools for families with children. For those with cars, using the Shelford Road, Adam Road and Pan Island Expressway can gain access easily to business hub and shopping districts in the city.10 Shelford- Unique Selling Points10 Shelford residents can enjoy amenities offered by the apartment such as a gymnasium room for residents who prefer working out in their own comfort zone as compared to going to a public gym. For residents who prefer to workout but not in the gym, take a dip in the swimming pool that is located right before the apartment that gives the pool visitors an open view of the sky. Residents can also enjoy sunbathing as the apartment offers a pool deck for those in need of that summer glow. Car parks are also provided for the residents in the apartment so their safety and comfortability is secured. The apartment also has a 24-hour security system that keeps track of the going in and coming out of everyone from visitors to residents of the apartment.10 Shelford- Accessibilities10 Shelford apartment residents can easily access MRT stations close by such as Tan Kah Kee MRT, Botanic Gardens MRT and Farrer Road MRT. Other public transport in the area are such as those at Singapore Bible College, Coronation Plaza, Bus Stop 41021 ( Botanic Gardens MRT) and Lutheran Towers. There are even banks, eateries and recreation parks that are only a stone’s throw away from the apartment for residents who would like to fill their free time with outdoor activities.10 Shelford- AmenitiesDining near 10 Shelford Selera Rasa Nasi LemakAdam Road Food CentreAdam’s Nasi LemakLittle HiroPenang KitchenSchools and Education near 10 ShelfordFeng Hua Language Studies CentreNanyang Primary SchoolSt Margaret’s Secondary SchoolSingapore Bible CollegePre-School By-The-ParkClinics/Hospitals near 10 ShelfordM A Dental SupplyEnergyLabShopping Malls near 10 ShelfordFairPrice Coronation PlazaGerman Market PlaceCold Storage Cluny CourtPark/Gym near 10 ShelfordShelford Road ParkBotanic Gardens StationUniversity Road ParkMalls near 10 ShelfordBlack White ColorCrown CentreKing’s Arcade Shopping CentreCoronation Shopping PlazaPlace of Worship near 10 Shelford True Jesus ChurchAdam Road Presbyterian Church10 Shelford- Project Information10 Shelford is made up of one big block with 4 storeys. It has only 69 units in total that it gives proper privacy to the residents as it is secluded. The apartment only has two type of units to offer and it is very conducive for residents who are working singles, couples or small families. The unit area ranges from 400 square feet to 950 square feet. The price range for these units ranges between S$818,000 toS$1,390,000 and the rental price for the units range between S$2,200 to S$3,200. The PSF value is in the range of S$ 1,147 - S$ 2,102.Project Name: 10 ShelfordType:ApartmentDistrict: 11Configuration: 69 residential unitsUnit types for 10 Shelford:1 bedroom + 1 bathroom (870 – 950 sqft)Studio unit (400- 630 sqft)10 Shelford- Nearby ProjectsThe following are developments in the same neighborhood as 10 ShelfordMoulmein StudiosMulberry TreeThe HuntingtonNovena SuitesLa Maison"
400005,11 Amber Road,D15,11 Amber Road,439857,Apartment,Taramon Pte Ltd,Freehold,2004,21,40,https://www.propertyguru.com.sg/project/11-amber-road-14,"11 Amber Road11 Amber Road has tenure of Freeland apartments and its development was completed in 2004. The building of the apartments is situated at Amber Road due to which it is also called as Amber Road Apartments. The location of the apartments is very close to the MRT station. The name of MRT Station is CC8 Dakota MRT Station. The territory of apartments comes under the jurisdiction ofDistrict 15. The name of the district is East Coast, Marine Parade. There are many shopping centers and restaurants that are available to fulfill the needs of the people residing in the Amber Road Apartment. There are many amenities that can be found to entertain people like shopping points, restaurants, parks, and playgrounds. There are also hospitals and clinics for any emergency.The developer of the building is Taramon Pte Ltd. The organization is famous for its architecture works for housing sites. It has collaboration with international construction companies to fulfill their major projects.11 Amber Road – Unique Selling PointsThere are more than 40 units and the large towers are 20 stories higher from ground level. The apartments are very clean and well decorated. The minimum number of rooms is two and the maximum number of bedrooms is three. The kitchen and lounge area is also there. Each room has its own attached bathroom. The apartments are available for sale as well as for rent. There are many educational services that can be found for children. These facilities include Chatsworth International School - East Campus, Canadian International School - Tanjong Katong Campus and The Tanjong Katong Primary School. These are all within walking distance from the location of the apartments.11 Amber Road - AccessibilityThere are two major roads that are linked with the building of the apartments. These are Tanjong Katong Road and East Coast Parkway. These both lead to many shopping centers and restaurants. The schools are on five minutes’ drive from the apartments. For shopping and daily basis accessories, the resident of 11 Amber Road can go to the nearest supermarket like Cold Storage supermarket, giant hypermarket, and NTUC FairPrice Supermarket. These facilities are within walking distance. Cycling Park and Katong Park are walking distance for any entertainment people go there in their free time.11 Amber Road - Amenities & AttractionsDining near 11 Amber Road:Man Zhu RestaurantDelicious Boneless Chicken RiceThin Crust Pizza By KevinbakeryMiki Kitchen . Oriental CuisineKatong KitchenDelhi 6 SingaporeSchools and Education Institute near 11 Amber Road:Chiltern House Enrolment OfficeShaws Preschool @ Mountbatten RoadSaintly Education CentreShaws Preschool @ Katong PostCanadian International School SingaporeZhicheng Private SchoolShopping Outlets near 11 Amber Road:Katong Shopping CentreOdeon Katong Shopping ComplexLampe Berger At Parkway ParadeOgano Lifestyle Pte LtdKatong PlazaSwaroyale Jewellery11 Amber Road - Project information11 Amber Road holds a total of 21 floors. It has 40 units in total and mostly the units are made up of 2 bedrooms and 3 bedrooms. The units with three bedrooms have built-up areas ranges from 1496 sq. ft. to 1905 sq. ft. The built-up area of all the unit’s ranges from 1345 sq. ft. to 1905 sq. ft. Project Name: 11 Amber RoadType: ApartmentDistrict: 15Configuration: 40 unitsUnit types: 2-bedrooms (1,345 sqft)3-bedrooms (1,496 - 1,905 sqft)11 Amber Road - Related ProjectsThe following projects are by the same developer as 11 Amber Road:D'leedon (former Farrer Court)Oxley Edge187B Rivervale DriveResidences BotaniqueKent Ridge Hill Residences11 Amber Road - Nearby ProjectsThe following developments are in the same neighborhood as 11 Amber Road:Amber ParkMeyer MansionSeaside ResidencesSilverseaAmber 45Frankel Estate"
400006,123 Langsat Road,D15,123 Langsat Road,426775,Apartment,Pan-Architects 98,Freehold,N/A,N/A,N/A,https://www.propertyguru.com.sg/project/123-langsat-road-21309,"123 Langsat Road123 Langsat Road is a Freehold Apartment which is located at 123, Langsat Road in District 15. It is a small building consisting of units composed of 3, 4 and 5 bedrooms. Residents at 123 Langsat Road can get to nearby supermarkets or shopping mall within the area for an array of amenities such as grocery and retail shopping, banks, eateries and more. Vehicle owners can take East Coast Road and East Coast Parkway (ECP) to get to the business hub or shopping district in the city.123 Langsat Road – Unique Selling PointThe building gained importance because of different bus stops and MRT stations accessible at walk distance. The building offers a community-like environment with different international schools and malls within its vicinity. However, no other luxury is provided within the building.123 Langsat Road – AccessibilityThe building is accessible via various bus and MRT stations. Several MRT stations are also located near the area which includes Eunos MRT which is located at a distance of 510m from the 123 Langsat road. It is the nearest MRT station and offers an adequate transport facility for the residents of the building. Kembangan MRT is located 1.02km away from the building. It is rather away and requires a walk of 19 minutes to reach this place from the 123 Langsat Road. Meanwhile Paya Lebar MRT is also located 1.39km away from the building and it takes 24 minutes of walk to reach this preferable station. Moreover, an East Coast Road and East Coast Parkway (ECP) can be utilized by the vehicle owner to reach to the business hub or shopping district in the city123 Langsat Road - Amenities The building offers various attractions which never cease to amaze its residents such as:Dining near 123 Langsat RoadMackenzie Rex Restaurant @ ChangiGuan Hoe Soon RestaurantKampong Chai Chee RestaurantPattaya Garden RestaurantGoldhill Hakka Yong Tau FooShopping Malls near 123 Langsat RoadJoo Chiat ComplexSingapore Post CentreNTUC Fair Price (Eunos Crescent)NTUC Fair Price (Joo Chiat Complex)NTUC Fair Price (Lengkong Tiga) Joo Chiat ComplexSchools and Education Institution near 123 Langsat RoadHaig Girls' SchoolEunos Primary SchoolChij (Katong) PrimaryTanjong Katong Secondary SchoolManjusri Secondary SchoolChatsworth International School (East)Canadian International School (Tanjong Katong)Global Indian International School (East Coast)Medical Centers/Clinics near 123 Langsat RoadSingapore General HospitalTan Tock Seng HospitalInstitute of Mental HealthParkway East HospitalSengkang General Hospital123 Langsat Road - Project informationThe building provides 24/7 security facilities with air-Conditioning rooms, a proper balcony for each apartment, enchanting city view and rooms with original conditions and renovations. The units are either composed of 3, 4 or 5 bedrooms facilities on different floors. Details of the property are as under:Project Name: 123 Langsat RoadType: ApartmentsDistrict: 15Tenure: FreeholdDeveloper: not knownAddress: 123 Langsat Road 426775Unit type3-bedrooms4-bedrooms5-bedrooms123 Langsat Road - Nearby ProjectsThe following developments are in the same neighborhood as 123 Langsat Road:The SoundOne AmberSuites @ East CoastParc EleganceCubik"
400007,16 @ Amber,D15,16 Amber Road,439866,Apartment,Novelty Amber Pte. Ltd.,Freehold,2014,11,40,https://www.propertyguru.com.sg/project/16-amber-2624,"16 @ Amber16 @ Amber is an exquisite apartment complex that is 11 stories high and comprises of 40 exclusive residential units. The development is located on Amber Road, East Coast, District 15. It is developed by Novelty Amber Pte Ltd whose portfolio includes high-end luxury developments. It is a freehold apartment development. Its per-unit price varies from S$ 750,000 - S$ 1,240,000 depending upon the number of bedrooms and bathrooms in the apartment. The price per square foot of the apartment also varies from S$ 1,690 - S$ 1,900 depending upon the same factors. Katong Park MRT Station and Dakota MRT Station are only minutes away from the development, making the nearby places very accessible for the residents.16 @ Amber- Unique Selling Point16 @ Amber is a luxurious apartment complex that aims to provide a modern and conceptual living to its residents. The interior in each unit is mastered with exquisiteness and class. The development provides a conceptual living that features serene and mesmerizing views of the ocean and the busy city. Not only the interior is mastered, but the exterior of the complex provides luxurious and modern warmth. Also, the apartment complex makes it fun for its residents to stay at home by providing a world-class gym with state-of-the-art equipment, an infinity swimming pool on the 12th floor, a jacuzzi and a 24/7 security system that ensures residents safety.16 @ Amber- Accessibility16 @ Amber is within a 2 km distance from 3 MRT Stations; Katong MRT Station, Dakota MRT Station, and Mountbatten MRT Station. The development is near to many prestigious schools, dining areas and many internationally renowned businesses-like McDonalds and Starbucks. There are even 7 shopping centers near the area that provide the residents with literally everything. Some shopping centers are a little walking distance away from whereas some are a 5-10-minute drive away. To get to the business hub or the Orchard Road shopping district, it may only take 10-15 minutes for vehicle owners through the East Coast Parkways (ECP). The complex is also only 15 minutes away from Changi Airport via ECP.16 @ Amber- Amenities Schools/Education near 16 @ Amber:Canadian International SchoolTao Nan SchoolChatsworth International SchoolBritish Council CenterMalls/Shops near 16 @ Amber:Katong Shopping CenterThe Odeon KatongParkway ParadeKatong V112 KatongRoxy Plaza7-ElevenCheersFairPrice FinestCold StorageMarket PlaceGiant HyperStarbucksCoffee BeanParks near 16 @ Amber:Marine Parade Road ParkWilkinson Interim ParkMeyer Road PlaygroundTanjong Katong Road South Playground16 @ Amber-Project Information16 @ Amber is a small development that is 11 stories high, comprising of 40 exclusive residential units with exquisitely modern interior and classy exterior. Its per-unit price varies from S$ 750,000 - S$ 1,240,000 and it's Per Square Foot varies from S$ 1,690 - S$ 1,900, depending upon the number of bedrooms and bathrooms in the apartment.Project Name: 16 @ AmberType: ApartmentDistrict: 15Facilities: Infinity Swimming pool, Jacuzzi, 24/7 Security, GymnasiumUnit Types:1 Bedroom and 1 Bathroom. (420 sqft)2 Bedrooms and 1 Bathroom. (710 sqft)2 Bedrooms and 2 Bathrooms. (667 sqft)16 @ Amber- Related projectsThe following projects are by the same developer as 16 @ Amber:Platinum EdgeMuranoVerdana VillasVitra16 @ Amber-Nearby projectsThe following developments are in the same neighborhood as 16 @ Amber:The SoundOne AmberSuites @ East CoastParc EleganceCubik"
400008,2 RVG,D09,2 River Valley Grove,238405,Apartment,Affluence Properties Pte Ltd,Freehold,2006,21,60,https://www.propertyguru.com.sg/project/2-rvg-15,"2 RVG2 RVG is a Freehold apartment development located at River Valley Grove in District 09. The property is built on 21 floors, making a high rise project. 60 units are developed within the establishment consisting of 1 and 2 bedrooms. A wide array of amenities is located within the district which consists of several supermarkets, grocery stores, banks, parks, eateries and much more. 2 RVG is a short drive to Great World City and Cathay Cineleisure Orchard. It is also not far from several schools such as River Valley Primary School, Overseas Family School (OFS) and International School Singapore (ISS) - Elementary School. 2 RVG is close to Somerset MRT NS23. Vehicle owners utilize the Leonie Hill and Killiney Road to reach their business hubs and shopping within the district. 2 RVG was developed by Affluence Properties Pte Ltd in 2006. It is a Private Company Limited by Shares, incorporated on 1999 in Singapore. The Business's current operating status is dissolved - members' voluntary winding up the company.2 RVG – Unique selling pointThe property provides enormous facilities to its residents. There is a barbeque area, fitness area and swimming pool within the property. The car park facility is also available for the residents. A 24 hours security enhances the community's environment. A High-Speed Internet Wireless Access at Deck Area, Housekeeping Services and Water Filtration System is also developed within the community.2 RVG – Accessibility2 RVG is accessible via Leonie Hill and Killiney Road for the vehicle owner. Available MRTs in the district include Great World MRT due 2021, Somerset MRT And Havelock MRT due 2021 at a distance of 410m, 590m and 780m from the apartments respectively. The Bus stops in the region and a walk of 4 minutes from the residency is required to catch the nearest bus.2 RVG – Amenities and attractionsDining near 2 RVGHaidilao Hot Pot @313Al Afrose RestaurantMitzo Restaurant & BarPu3 RestaurantImperial Treasure Steamboat RestaurantSchools and Education near 2 RVGRiver Valley PrimaryAlexandra PrimaryMargaret's PrimaryOutram SecondaryGan Eng SengSchool of The Arts, SingaporeIss Elementary & Middle SchoolChatsworth International School (Orchard)Sri Manasseh Meyer International SchoolShopping near 2 RVGGreat World CityNgee Ann CityTakashimaya Shopping CentreCold Storage Great World CityNTUC Fairprice (Orchard Grand Court)Cold Storage TakashimayaTripleone SomersetHospitals/Childcare centers near 2 RVGSingapore General HospitalMount Elizabeth HospitalSGH Block 7Tan Tock Seng HospitalGleneagles HospitalSams Early Learning Centre Pte LtdSuperland MontessoriCherie Hearts Kids World @ River Valley Pte Ltd2 RVG – Project information2 RVG is a freehold apartment development located in District 09. It is a high-rise project consisting of 60 units distributed among 21 floors. The units are either composed of 1 or 2 bedrooms. Fittings of wardrobe, kitchen, and air-conditioning are provided in the facility. The flooring of living and bedrooms is also established in each unit. The apartment is available for rental and sale purposes. Unit price ranges from S$ 1,350,000 - S$ 1,800,000 and the PSF is S$ 1,959 - S$ 2,104. Property details are as under:Project Name: 2 RVGProject Type: ApartmentAddress: 2 RIVER VALLEY GROVEDistrict: 09 (Leonie Hill, Orchard, Oxley)Tenure: FreeholdDeveloper: Affluence Properties Pte LtdBuilt: 2006of Units: 60 Unit type:1 bedroom (689 sqft)2 bedrooms (893 - 926 sqft)2 RVG – Nearby projects111 Emerald Hill1919283 Studio336 River Valley"
400009,21 Richards,D19,21 Richards Avenue,546430,Apartment,Aurum Land (Private) Limited,Freehold,2014,N/A,31,https://www.propertyguru.com.sg/project/21-richards-20824,"21 Richards is a freehold apartment located at 21, Richards Avenue, 546430 in District 19 Kovan. It comprises of 31 units. 21 Richards is close to Kovan MRT and Hougang MRT. It is due to be completed in 2014. Schools close to 21 Richards include, Chreston School of Commerce and Catholic Kindergarten.  

Facilities in 21 Richards

Facilities at 21 Richards include gymnasium, swimming pool, covered car park and 24 hours security.

Amenities near 21 Richards

Residents at 21 Richards can get to nearby supermarkets or shopping mall within the area for an array of amenities such as grocery and retail shopping, banks, eateries and more. 

21 Richards is near to Cold Storage Hougang and Cold Storage Heartland Mall. It is also close to ICB Shopping Centre and Upper Serangoon Shopping Centre. 

Vehicle owners can take Lowland Road, Rosyth Road and Central Expressway to get to the business hub or shopping district in the city."
400010,28 RC Suites,D08,28 Race Course Lane,218746,Apartment,Sysma Properties Pte Ltd,Freehold,2017,6,45,https://www.propertyguru.com.sg/project/28-rc-suites-21716,"28 RC Suites28 RC Suites is an apartment building which is situated in District D08 at the Race Course Lane. It is located near NE8 Farrer Park MRT Station where the residents can reach the station in less than 5 minutes on foot. 28 RC suites are quite well-designed and have the luxurious features in the apartments. It has 45 units and has been completed in 2017 and is situated near the upcoming Novena Medical Hub.The project is built by Sysma Properties Pte Ltd and the company is a well-known and highly regarded developer in Singapore. Sysma Properties Pte. Ltd. offer construction services for building.28 RC Suites – Unique Selling PointMostly, the units have one to two bedrooms and the relatively suitable size of the apartments make them appropriate for smaller families, bachelors, and couples and this feature differentiates the building from its competitive apartment buildings. The location is closer to several MRT stations and this is another major plus for the residents. The availability of gym, pool, and parking facilities make this property worth buying.28 RC Suites – Accessibility28 RC Suites is located closer to four MRT stations. The nearest MRT station is NE8 Farrer Park MRT Station that is only 0.31 kilometers away from the building where residents can reach there within 4 minutes on foot. Another station is NE7 Little India MRT Station which is situated at 0.46 kilometers from 28 RC Suites that makes to about 6 minutes of walk. DT22 Jalan Besar MRT Station is also located quite near to this apartment building at a distance of 0.61 kilometers away which is about at a walk of 7 minutes. In addition to this, the residents can drive and take the routes through Serangoon Road, Central Expressway (CTE), and Bukit Timah Road to get to their work points or shopping areas within the city.28 RC Suites – Amenities 28 RC Suites has all the market competitive features in its apartments. It has all the amenities that make it luxurious for its occupants. The builders made sure that the residents have all the necessary facilities available to them in or around the apartment building. It has several nearby places that include:Schools and Educational Institution near 28 RC SuitesFarrer Park Primary SchoolCreatifMindz Education CentreInsworld Institute Pte LtdStamford Primary SchoolInsworld Institute Pte LtAquadance Swimming SchoolShopping Malls and other Shops near 28 RC SuitesGiant Supermarketat26C Race Course LaneI-Tec SupermarketMustafa CentreOwen Link @ ConnexionSerangoon PlazaGood Luck Spices MartFarrer ParkFacilities and Services at 28 RC SuitesCarpark EntranceCarpark ExitSwimming PoolPool DeckGym (Next to Pool Deck).28 RC Suites – Project Information28 RC Suites is an apartment project and it has a total of 45 units which are available for sale only. The units are divided into 8 types and most of these have one bedroom and one bathroom and their prices depend on their area and level of being furnished.Project Name: 28 RC SuitesType: ApartmentUnits to Buy: 45Year of Completion: 2017District: 08Developer: Sysma Properties Pte LtdTenure: Freehold28 RC Suites - Nearby Projects Following are some of the projects in the same area:Pristine HeightsClydes ResidenceKentish GreenCity Square ResidencesThe Citron Residences"
400011,283 Studio,D09,283 River Valley Road,238324,Apartment,Urban Development Pte Ltd,999-year Leasehold,2012,N/A,7,https://www.propertyguru.com.sg/project/283-studio-20825,"283 Studio is a 999 year leasehold located at 283, River Valley Road, 238324 in District 09 River Valley. It comprises of 7 units. 283 Studio  is close to Somerset MRT Station and Dhoby Ghaut MRT Station.  It is due to be completed in 2012. Schools close to 283 Studio include, River Valley Primary School and Chatsworth International School.  

Facilities in 283 Studio

Facilities at 283 Studio include covered car park.

Amenities near 283 Studio

Residents at 283 Studio can get to nearby supermarkets or shopping mall within the area for an array of amenities such as grocery and retail shopping, banks, eateries and more. 

283 Studio is near to Cold Storage Clemenceau Avenue and Cold Storage UE Square. It is also close to Robertson Walk and 15 Mohamed Sultan Road.

Vehicle owners can take River Valley Road and Killiney Road to get to the business hub or shopping district in the city."
