611002,180 Lompang Road,D23,180 Lompang Road,670180,Multiple,Housing & Development Board (HDB),99-year Leasehold,1999,25,N/A,https://www.propertyguru.com.sg/project/180-lompang-road-8195,
611003,3BHC,D20,0 Bright Hill Crescent,573000,Semi-Detached House,Manston Land Pte Ltd,Freehold,2007,N/A,N/A,https://www.propertyguru.com.sg/project/3bhc-840,"3BHC is a freehold cluster-housing development located at 3K Bright Hill Crescent, Singapore 573994, in District 20, just a short ride to Marymount MRT Station. Completed in 2007, it comprises 15 units. 3BHC is close to Macritchie Reservoir Park and Singapore Island Country Club.

Condo Facilities at 3BHC

Facilities at 3BHC include a swimming pool.

Condo Amenities near 3BHC

Numerous feeder bus services are available near 3BHC. It is also a short drive to established schools, such as Raffles Institution, Ang Mo Kio Secondary School, and Whiteley Secondary School.

3BHC is also close to the stretch of restaurants located along Upper Thomson Road. Residents can walk down to the nearby Thomson Plaza for amenities such as supermarkets, restaurants and eating establishments, banks, and other shops. In addition, Mount Alvernia Hospital is within reasonable driving distance.

For vehicle owners, driving from 3BHC to either the business hub or the bustling Orchard Road shopping district takes 15 - 20 minutes, via Central Expressway and Thomson Road respectively."
611004,61 Goodman Road,D15,61 Goodman Road,439026,Bungalow House,N/A,Freehold,N/A,N/A,N/A,https://www.propertyguru.com.sg/project/61-goodman-road-21955,
611005,8 @ Stratton,D28,0 Stratton Walk,800000,Detached House,Fairview Developments Pte Ltd,Freehold,2009,3,8,https://www.propertyguru.com.sg/project/8-stratton-1167,"8 @ Stratton is a cluster house located at 2 Stratton Green in District 28 near Fernvale LRT Station. Completed in 2009, 8 @ Stratton comprises a total of 8 units. Just a few minutes away are the lively neighbourhood of Buangkok Crescent and the Popular Seletar Hill Restaurant. 

Condo Facilities at 8 @ Stratton
8 @ Stratton offers facilities such as a swimming pool, individual spa, and a private car park. 

Condo Amenities near 8 @ stratton< 

Amenities such as supermarkets, banks, clinics, and food centres are available at the nearby Buangkok neighbourhood.  Residents can shop at Sheng Siong Supermarket, Shop N Save, and Fernvale Point for everyday necessities and groceries.
Reputable schools such as the United World College of South East Asia (UWCSEA), ITE College West, and Chatsworth International School are also close by.
8 @ Stratton can be accessed via Fernvale and Layar LRT Station."
611006,8 on Chuan,D19,113 Chuan Drive,554575,Terraced House,Kheng Leong Co Pte Ltd,99-year Leasehold,2004,N/A,8,https://www.propertyguru.com.sg/project/8-on-chuan-20,"8 on Chuan8 on Chuan is a leasehold terraced housing development that is located at Chuan Drive in District 19. It is an terraced housing project that was completed a while back. The project was completed in 2004 with a total of 8 units available for sale or rent. The terraced housing development is located close to public transportation that allows residents to move easily from one place to another from the terraced housing. There are many shops and amenities close to the terraced housing development which would ease the process for residents and they do not need to go far to find what they need. The project was developed by Kheng Leong Co Pte Ltd, a mid-scale property development that has developed 4 other property projects in Singapore.8 on Chuan - Unique Selling Point8 on Chuan is a beautiful terraced housing development that has many charms to it. There are various facilities that residents can enjoy while living in 8 on Chuan. Residents of 8 on Chuan would not have to travel far to get their basic necessities as everything is close within their reach. Residents can enjoy the shops, mall and eateries in the surrounding area during their free time. Residents can also enjoy the peace and seclusion the housing development has to offer.  Residents can enjoy taking evening walks around the terraced housing development while enjoying the sun set during their free time. The terraced housing development is well equipped with well tended garden to make the experience of living there even more magical.8 on Chuan - AccessibilityThere is a number of public transportation close to 8 on Chuan that residents can make use of. The closest bus stops are located at Chuan Terace, Summer Place, Serangoon Garden Circus, Serangoon Gardens Country Club and Cardiff Residence. For those with vehicles, the shopping district located at Orchard Road can be easily accessed via the Central Expressway, Serangoon Avenue 2 and Upepr Serangoon Road in 15 to 20 minutes.8 on Chuan - Amenities & AttractionsDining near 8 on Chuan Maimon Nasi Padang Seafood and Catering ServicesSun Ray CaféFat Boy’s Burger BarChomp Chomp Food CentreSwatow GardenSchools and Education Institute Institute near 8 on Chuan St Gabriel’s Primary SchoolKuo Chuan Presbyterian Secondary SchoolNanyang Junior CollegeSt Joseph’s InstitutionYangzheng Primary SchoolCHIJ Our lady of Good CounselMedical Centres/ Clinics near 8 on Chuan Pang & Ng Dental Surgery (Bishan) Pte LtdTan’s T & T Clinic & SurgeryKenneth Loo Family ClinicBishan Grace ClinicGarden ClinicShop Outlets near 8 on Chuan Kim Seah Deparmental StoreGiant Express Serangoon Central DriveGood Friends SupermarketGood Luck Provision ShopHeartland Mart8 on Chuan - Project Information                                                                     8 on Chuan is a terraced housing development that is made up of 8 units of terraced housings. There is only 1 type of unit available with various layouts that resident can browse through. The size of the unit averages at 2,024 square feet. The layouts for the units in 8 on Chuan  aim to provide residents with homes that is comfortable for working adults, couples or families looking to own a spacious and manageable terraced housing unit.Project Name: 8 on ChuanType: Terraced HouseDistrict: 19Configuration: 8 units8 on Chuan - Related ProjectsThe following developments were developed by the same developer as 8 on Chuan:Oasis GardenThe AnsleyThe Minton8 on Chuan - Nearby ProjectsThe following developments are in the same neighborhood as 8 on Chuan:The Florence ResidencesAffinity At SerangoonRiverfront ResidencesLa FiestaKingsford WaterbaySengkang Grand Residences"
611007,Adelphi Park Estate,D20,Jasmine Road,576000,Detached House,N/A,Freehold,2011,N/A,N/A,https://www.propertyguru.com.sg/project/adelphi-park-estate-20828,"Adelphi Park EstateAdelphi Park Estate is a freehold detached house development located at on Jasmine Road in District 20 Bishan. The project was completed in 2011 and consists of units with 3, 4 or 5 bedrooms. Numerous shopping and supermart facilities are within walking distance to this development that offers an array of amenities such as grocery and retail shopping, banks, eateries and more. Schools close to Adelphi Park Estate include Ai Tong School and Bishan Park Secondary School.Adelphi Park Estate is also in proximity to Shop N Save Thomson Imperial Court and Prime Supermarket Bishan 282. The facility is near Thomson Plaza and Lakeview Shopping Centre.Adelphi Park Estate is close to Marymount MRT Station and Caldecott MRT Station that provides access to its residents. The Upper Thompson Road, Yio Chu Kang Road, Seletar Expressway and Central Expressway are utilized by vehicle owners to reach their business hubs and shopping within the district.Adelphi Park Estate – Unique selling pointThe estate provides its residents with a preferential car park area with each unit. Balconies are built in the houses that provide a clear and enchanting view of the outside world. Moreover, supermarkets, eateries, and other amenities are within a walking distance from the residence.Adelphi Park Estate – AccessibilityThe estate is accessible via taking Upper Thompson Road, Yio Chu Kang Road, Seletar Expressway and Central Expressway for the vehicle owners. MRT service is also located not so far from the building which includes Upper Thomson MRT due 2020, Bright Hill MRT due 2020 And Marymount MRT. These MRTs are at a preferable distance of 390m, 980m and 1.27km from the landed estate. a short walk of 8 minutes' is required to reach the nearest MRT from the house. The bus stop in the locality is Opp Thomson Plaza at 220m away from the development. Therefore, both the bus and MRT stations are at a walking distance from the residency.Adelphi Park Estate – Amenities Dining near Adelphi Park EstateChicken HousePeperoni Pizzeria @ ThomsonE-SARN Thai CornerPeach Garden @ Thomson PlazaThe Roti Prata HouseSchools and Education near Adelphi Park EstateCatholic HighBishan Park SecondaryPeirce SecondaryWhitley SecondaryCatholic High SchoolAnglo-Chinese School (Sin Ming Dr)Shopping near Adelphi Park EstateTHOMSON PLAZAKKH The Retail MallBISHAN NORTH SHOPPING MALLNTUC FAIRPRICE (THOMSON PLAZA)Giant (Thomson Imperial Court)Sheng Siong Hypermarket (Ang Mo Kio 233)Hospitals/Childcare centers near Adelphi Park EstateTan Tock Seng HospitalInstitute of Mental HealthMount Elizabeth HospitalKhoo Teck Puat HospitalMount Elizabeth Novena HospitalAdelphi Park Estate – Project informationAdelphi Park Estate is a freehold detached house facility built-in 2011. The houses are located in District 20. Units of this house are organized and composed of 3, 4 or 5 bedrooms. The bedrooms are wide and provide enough space for the residents to live in. Balconies are provided in the house that provides an enchanting view of the outside area. The units are available for sale and rental purposes. The sale price of a single unit ranges from S$ 2,990,000 - S$ 2,990,000 whereas the PSF is S$ 1,693 - S$ 1,694. The project detail is as under:Project Name: Adelphi Park EstateProject Type: Detached HouseAddress: Jasmine Road 576000District: 20 (Ang Mo Kio / Bishan / Thomson)Tenure: FreeholdBuilt: 2011Developer: N.AUnit type:3 bedrooms4 bedrooms5 bedroomsAdelphi Park Estate – Nearby projects Following are some residency projects near Adelphi Park Estate:183 LonghausAdana @ ThomsonAdelphi Park EstateBishan 8"
611008,Ah Soo Garden,D19,0 Lorong Ah Soo,539000,Terraced House,N/A,Freehold,1990,N/A,N/A,https://www.propertyguru.com.sg/project/ah-soo-garden-20829,"Ah Soo Garden is a freehold terraced house located at Lorong Ah Soo in District 19 Serangoon. Ah Soo Garden is close to Bartley MRT and Kovan MRT.  It is completed in 1990. Schools close to Ah Soo Garden include, Paya Lebar Methodist Secondary School and St Gabriel's Secondary School.  

Amenities near Ah Soo Garden

Residents at Ah Soo Garden can get to nearby supermarkets or shopping mall within the area for an array of amenities such as grocery and retail shopping, banks, eateries and more. 

Ah Soo Garden is near to Prime Supermarket Hougang 106 and Shop 'N' Save Yio Chu Kang Road. It is also close to Tai Keng Shopping Centre and Upper Serangoon Shopping Centre. 

Vehicle owners can take Lorong AH Soo, Upper Paya Lebar Road and Central Expressway to get to the business hub or shopping district in the city."
611009,Alana,D28,0 Sunrise Terrace,804000,Terraced House,BULLION HOLDINGS PTE. LTD. & CABANA JV PTE. LTD,103-year Leasehold,2019,1,78,https://www.propertyguru.com.sg/project/alana-21801,"AlanaLocated within a low-rise estate in an upmarket part of District 28, Alana is more of a cluster housing development. Its 78 homes are arranged in 4 different Hawaiian themed clusters, ranging from water based to garden themed. Within those 4 clusters, there are also 4 different types of home available. These include those designed for multi-generational living, as well as ones designed with a more lively, entertaining lifestyle in mind. There are no MRT stations within walking distance of the Alana, but Ang Mo Kio and Yio Chu Kang, both on the North South Line, and both an 8-minute drive away are 25 minutes from the CBD. For drivers, Alana is almost a 12-minute drive from the city in good conditions.Far East Organization, along with its Hong Kong based company Sino Group, is one of Asia’s major real estate groups. The main private property developer in Singapore, the firm is responsible for over 770 developments in the housing, commercial, healthcare, hospitality, retail, and industrial space sections. It is also the prime private residential property-owner and largest hotels and serviced residences operator.Alana – Unique Selling PointsThe Alana offers high quality cluster housing at a relatively low price in a low-rise estate surrounded by bungalows and semi-detached housing. Its 78 units come in a choice of 4 different Hawaiian themed clusters, as well as 4 distinct types, depending on your living arrangements and lifestyle. Though there are no MRT stations within walking distance, this means the Alana benefits from the peace and tranquillity many people crave, and despite that, in good conditions you can be in the CBD in under a quarter of an hour.Alana – AccessibilityOne of the downsides of Alana’s location in a low-rise estate is that there are no MRT or indeed bus stops in the immediate vicinity. The nearest MRT station is Ang Mo Kio on the North South Line, which is an 8-minute drive from Alana. Yio Chu Kang MRT Station, also on the North South Line is a similar distance away. From Ang Mo Kio, a ride into the CBD will take about 25 minutes. Drivers can access the CTE, TPE and SLE quickly from Alana, and a drive into the CBD will take under 15 minutes in good conditions.Alana - Amenities & AttractionsDining near Alana:L’RezSakura BuffetImperial CourtTeng ShengShopping near Alana:Greenwich VAng Mo Kio HubSeletar MallSchools and Education near Alana:Chatsworth KindergartenRosyth SchoolHougang Primary SchoolAnderson Secondary SchoolLycee Francais de SingapourDimensions International CollegeJames Cook UniversityUnited World College of South East Asia (UWCSEA)Alana - Project informationAlana is a cluster housing development situated in a low-rise estate in Seletar largely made up of bungalows and semi-detached properties. Each home at Alana is 3 stories with a roof terrace, but there are a lot of variations despite the fact there are only 78 separate units. First of all, there are 4 different Hawaiian inspired clusters: Kai (ocean), Nani (beautiful), Kala (sun) and Ola (healthy), each with their own characteristics. Each of the 4 clusters in Alana, is then made up of 4 different types of home. Type A is characterised by wide open living spaces, with large master bedrooms with its own private terrace. Type B units are designed for multi-generational living, with the option of an extra room on the ground floor, plus private lift access to all floors. Type C offers more privacy, with a bedroom on the top floor, and the option for an additional room on the 1st storey, while the type D homes are aimed at those who love to entertain.Project Name: AlanaAddress: Sunrise TerraceSite area: Approx. 167,530 sqftTenure: 103-year leaseholdDistrict: 28Configuration: 78 cluster terrace homesUnit types:9 Type A Series (3,358 – 3,509 sqft)6 Type B Series (3,444 – 3,735 sqft)34 Type C Series (3,025 – 3,261 sqft)29 Type D Series (2,756 – 2,939 sqft)Car park capacity: 2 lots per houseExpected TOP: 2Q2018Alana - Historical DataAs of June 2016, the number of caveated transactions for Alana stood at 18 out of a total number of 78 homes available. The prices for those sales ranged from $2M to $3.478M, with 11 coming in at between $2M and $2.4M and just 2 at $2.8M and above. With regards to the median prices for Alana, from that data we see that the type B series were at $967 psf, the C series were at $878 psf and the D series were at $813 psf.Alana - Related ProjectsThe following projects are by the same developer as Alana:BijouRiverTrees ResidencesGreenwood MewsSeahillThe Scotts TowerAlana - Nearby ProjectsThe following developments are in the same neighbourhood as Alana:Belgravia VillasSunrise GardensSaraca VillasSaraca GardensCabana"
611010,Allamanda Grove,D10,0 Allamanda Grove,269000,Terraced House,N/A,Freehold,2008,N/A,N/A,https://www.propertyguru.com.sg/project/allamanda-grove-20830,"Allamanda Grove is a freehold terraced house located at Allamanda Grove in District 10 Holland Village. Allamanda Grove is close to Holland Village MRT Station and Tan Kah Kee MRT Station.  It is completed in 2008. Schools close to Allamanda Grove include, Nanyang Girls' School and Dunman High School.  

Amenities near Allamanda Grove

Residents at Allamanda Grove can get to nearby supermarkets or shopping mall within the area for an array of amenities such as grocery and retail shopping, banks, eateries and more. 

Allamanda Grove is near to  and . It is also close to  and . 

Vehicle owners can take , ,  and  to get to the business hub or shopping district in the city."
611011,Ardisia Garden,D19,0 Serangoon Terrace,535000,Terraced House,RDC REALTY PTE LTD,99-year Leasehold,1996,N/A,43,https://www.propertyguru.com.sg/project/ardisia-garden-47,"Ardisia Garden is a 99-year Leasehold terraced  and semi-detached house located at Serangoon Terrace in District D19. Ardisia Garden is close to Serangoon MRT NE12 . 

Amenities near Ardisia Garden
Ardisia Garden is a short drive to Nex and Tai Keng Shopping Centre. It is also not far from several schools such as St Gabriel's Secondary School, Maris Stella High School and Zhonghua Secondary School. 

Ardisia Garden is accessible via Upper Serangoon Road, Bartley Road and Central Expressway (CTE)."
